,Title,Price,Currency,Source,Price_USD,Link,Product
42,"Noutbuk Apple MacBook Air M1 13 | Apple M1 | DDR4 16GB | SSD 1TB | 13"" IPS WQXGA 2560x1600 60 Hz | Apple graphics 7 core | Gold",2269.230769230769,USD,Zoodmall,2269.230769230769,https://www.zoodmall.uz/product/31399169/noutbuk-apple-macbook-air-m1-13-%7c-apple-m1-%7c-ddr4-8gb-%7c-ssd-256gb-%7c-13-ips-wqxga-2560x1600-60-hz-%7c-apple-graphics-7-core-%7c-grey/,Macbook
43,"Noutbuk Apple MacBook Pro M1 | Apple M1 | DDR4 16GB | SSD 512GB | 14"" IPS 3K 3024x1964 60 Hz | Apple graphics 14 core | Silver",2303.0,USD,Zoodmall,2303.0,https://www.zoodmall.uz/product/31399169/noutbuk-apple-macbook-air-m1-13-%7c-apple-m1-%7c-ddr4-8gb-%7c-ssd-256gb-%7c-13-ips-wqxga-2560x1600-60-hz-%7c-apple-graphics-7-core-%7c-grey/,Macbook
44,"Noutbuk Apple MacBook Pro M2 13 | Apple M1 | DDR4 16GB | SSD 1TB | 13"" IPS WQXGA 2560x1600 60 Hz | Apple graphics 8 core | Grey",2357.230769230769,USD,Zoodmall,2357.230769230769,https://www.zoodmall.uz/product/31399169/noutbuk-apple-macbook-air-m1-13-%7c-apple-m1-%7c-ddr4-8gb-%7c-ssd-256gb-%7c-13-ips-wqxga-2560x1600-60-hz-%7c-apple-graphics-7-core-%7c-grey/,Macbook
45,"Noutbuk Apple MacBook Pro M1 | Apple M1 | DDR4 16GB | SSD 512GB | 16"" IPS 3K 3456x2234 120 Hz | Apple graphics 16 core | Grey",2514.153846153846,USD,Zoodmall,2514.153846153846,https://www.zoodmall.uz/product/31399169/noutbuk-apple-macbook-air-m1-13-%7c-apple-m1-%7c-ddr4-8gb-%7c-ssd-256gb-%7c-13-ips-wqxga-2560x1600-60-hz-%7c-apple-graphics-7-core-%7c-grey/,Macbook
46,"Noutbuk Apple MacBook Pro M1 | Apple M1 | DDR4 16GB | SSD 512GB | 16"" IPS 3K 3456x2234 120 Hz | Apple graphics 16 core | Silver",2514.153846153846,USD,Zoodmall,2514.153846153846,https://www.zoodmall.uz/product/31399169/noutbuk-apple-macbook-air-m1-13-%7c-apple-m1-%7c-ddr4-8gb-%7c-ssd-256gb-%7c-13-ips-wqxga-2560x1600-60-hz-%7c-apple-graphics-7-core-%7c-grey/,Macbook
47,"Noutbuk Apple MacBook Pro M2 13 | Apple M1 | DDR4 8GB | SSD 1TB | 13"" IPS WQXGA 2560x1600 60 Hz | Apple graphics 8 core | Silver",2559.692307692308,USD,Zoodmall,2559.692307692308,https://www.zoodmall.uz/product/31399169/noutbuk-apple-macbook-air-m1-13-%7c-apple-m1-%7c-ddr4-8gb-%7c-ssd-256gb-%7c-13-ips-wqxga-2560x1600-60-hz-%7c-apple-graphics-7-core-%7c-grey/,Macbook
48,"Noutbuk Apple MacBook Pro M1 | Apple M1 | DDR4 16GB | SSD 1TB | 14"" IPS 3K 3024x1964 60 Hz | Apple graphics 16 core | Grey",2632.4615384615386,USD,Zoodmall,2632.4615384615386,https://www.zoodmall.uz/product/31399169/noutbuk-apple-macbook-air-m1-13-%7c-apple-m1-%7c-ddr4-8gb-%7c-ssd-256gb-%7c-13-ips-wqxga-2560x1600-60-hz-%7c-apple-graphics-7-core-%7c-grey/,Macbook
49,"Noutbuk Apple MacBook Pro M2 14 Late | Apple M2 | DDR4 16GB | SSD 512GB | 14"" IPS 3K 3024x1964 120 Hz | Apple graphics 16 core | Grey | (MPHE3)",2639.230769230769,USD,Zoodmall,2639.230769230769,https://www.zoodmall.uz/product/31399169/noutbuk-apple-macbook-air-m1-13-%7c-apple-m1-%7c-ddr4-8gb-%7c-ssd-256gb-%7c-13-ips-wqxga-2560x1600-60-hz-%7c-apple-graphics-7-core-%7c-grey/,Macbook
50,"Noutbuk Apple MacBook Pro M2 16 | Intel Core i7-9750H | DDR4 16GB | SSD 512GB | 16"" IPS 3K 3456x2234 120 Hz | Apple graphics 16 core | Grey",2733.230769230769,USD,Zoodmall,2733.230769230769,https://www.zoodmall.uz/product/31399169/noutbuk-apple-macbook-air-m1-13-%7c-apple-m1-%7c-ddr4-8gb-%7c-ssd-256gb-%7c-13-ips-wqxga-2560x1600-60-hz-%7c-apple-graphics-7-core-%7c-grey/,Macbook
51,"Noutbuk Apple MacBook Pro M2 16 | Intel Core i7-9750H | DDR4 16GB | SSD 512GB | 16"" IPS 3K 3456x2234 120 Hz | Apple graphics 16 core | Silver",2733.230769230769,USD,Zoodmall,2733.230769230769,https://www.zoodmall.uz/product/31399169/noutbuk-apple-macbook-air-m1-13-%7c-apple-m1-%7c-ddr4-8gb-%7c-ssd-256gb-%7c-13-ips-wqxga-2560x1600-60-hz-%7c-apple-graphics-7-core-%7c-grey/,Macbook
52,"Noutbuk Apple MacBook Pro M1 16 Late | Apple M1 | DDR4 16GB | SSD 1TB | 16"" IPS 3K 3456x2234 120 Hz | Apple graphics 16 core | Silver",2769.3846153846152,USD,Zoodmall,2769.3846153846152,https://www.zoodmall.uz/product/31399169/noutbuk-apple-macbook-air-m1-13-%7c-apple-m1-%7c-ddr4-8gb-%7c-ssd-256gb-%7c-13-ips-wqxga-2560x1600-60-hz-%7c-apple-graphics-7-core-%7c-grey/,Macbook
53,"Noutbuk Apple MacBook Pro M1 16 | Apple M1 | DDR4 16GB | SSD 512GB | 16"" IPS 3K 3456x2234 120 Hz | Apple graphics 16 core | Silver",3076.923076923077,USD,Zoodmall,3076.923076923077,https://www.zoodmall.uz/product/31399169/noutbuk-apple-macbook-air-m1-13-%7c-apple-m1-%7c-ddr4-8gb-%7c-ssd-256gb-%7c-13-ips-wqxga-2560x1600-60-hz-%7c-apple-graphics-7-core-%7c-grey/,Macbook
0,Нур Домбайси: Хўмрайган Болакай ва уни ҳайратга сололмаган ғайриоддий ҳодисалар,3.0,USD,Asaxiy,3.0,https://asaxiy.uz/compare,Airpods
1,1 Pair Replacement Ear Tips For Airpods Pro; Memory Foam Tips Airpod Pro,5.0,USD,Zoodmall,5.0,https://www.zoodmall.uz/product/13686728/simsiz-quloqchin-apple-airpods-2-1/,Airpods
2,Беспроводные наушники MIS Airpods Pro 5 черный,6.076923076923077,USD,Asaxiy,6.076923076923077,https://asaxiy.uz/compare,Airpods
3,For apple Airpods 3 case Silicone Cover Case sticker Bluetooth Case for airpod 3 For Air Pods 3 Earphone Accessories skin,6.076923076923077,USD,Zoodmall,6.076923076923077,https://www.zoodmall.uz/product/13686728/simsiz-quloqchin-apple-airpods-2-1/,Airpods
4,For Airpods 3 Silicone Cover Case for Airpod 3 Wireless Bluetooth Air Pod Case Earphone Accessories With Anti-dust Sticker,6.1923076923076925,USD,Zoodmall,6.1923076923076925,https://www.zoodmall.uz/product/13686728/simsiz-quloqchin-apple-airpods-2-1/,Airpods
5,For apple Airpods 3 Silicone Cover Case sticker 2024 Bluetooth Case for airpod 3 For Air Pods 3 Earphone Accessories skin,6.1923076923076925,USD,Zoodmall,6.1923076923076925,https://www.zoodmall.uz/product/13686728/simsiz-quloqchin-apple-airpods-2-1/,Airpods
6,Clear Silicone Case for Airpods Pro 2 2024 Transparent Soft TPU Cover Case With Rope Earphone Accessories for Apple Airpod Pro 2,6.730769230769231,USD,Zoodmall,6.730769230769231,https://www.zoodmall.uz/product/13686728/simsiz-quloqchin-apple-airpods-2-1/,Airpods
7,For Airpods 3 Cases Cute Heart Clear Earphone Case For Apple Airpod Pro 2nd Wireless Bluetooth Silicone Airpods Cases Airpods1 2,6.961538461538462,USD,Zoodmall,6.961538461538462,https://www.zoodmall.uz/product/13686728/simsiz-quloqchin-apple-airpods-2-1/,Airpods
8,Airpod Case Cute Cartoon Dinosaur Bear for AirPods 3 2 Pro Lovely Bear Airpod Pro Airpod Cases,6.961538461538462,USD,Zoodmall,6.961538461538462,https://www.zoodmall.uz/product/13686728/simsiz-quloqchin-apple-airpods-2-1/,Airpods
9,Cute Korean 3D Love Pattern Earphone Cover For AirPods 2 3 Headset Protective Case Keyring For Apple Air Pods Pro AirPod Shell,6.961538461538462,USD,Zoodmall,6.961538461538462,https://www.zoodmall.uz/product/13686728/simsiz-quloqchin-apple-airpods-2-1/,Airpods
10,Creative Capybara Case for Apple Airpod Pro2 Airpods 1 2 3 Pro Wireless Headphone Cover for Air Pods 3rd Gen Box Cartoon Capa,6.961538461538462,USD,Zoodmall,6.961538461538462,https://www.zoodmall.uz/product/13686728/simsiz-quloqchin-apple-airpods-2-1/,Airpods
11,Anime Demon Slayer Airpod Cases Air Apple Pro 3 for Airpods Pro Pro2 2 3rd Pods Gen Airpord Cases Tanjirou Nezuko Cover Funda,6.961538461538462,USD,Zoodmall,6.961538461538462,https://www.zoodmall.uz/product/13686728/simsiz-quloqchin-apple-airpods-2-1/,Airpods
12,Airpod Case Cute Cartoon Dinosaur Bear for AirPods 3 2 Pro Lovely Bear Airpod Pro Airpod Cases,7.0,USD,Zoodmall,7.0,https://www.zoodmall.uz/product/13686728/simsiz-quloqchin-apple-airpods-2-1/,Airpods
13,Anime Logo Soft Case for Airpods Pro 3 2 1 Death Note Hunter X Hunter Demon Slayer Haikyuu Attact on Titan Cover Airpod Cases,7.0,USD,Zoodmall,7.0,https://www.zoodmall.uz/product/13686728/simsiz-quloqchin-apple-airpods-2-1/,Airpods
14,For AirPods Pro 2 3 1 Case Clear Soft Cover for Airpods Pro 2 Pro2 2022 Case for Airpod Pro 2nd Newest Funda Cover Air Pods,7.038461538461538,USD,Zoodmall,7.038461538461538,https://www.zoodmall.uz/product/13686728/simsiz-quloqchin-apple-airpods-2-1/,Airpods
15,Anime Haikyuu Shoyo Hinata Airpod Case for AirPods 3 2 1 Pro Cute Cartoon Transparent Airpod Pro Airpod Cases Luxury,7.038461538461538,USD,Zoodmall,7.038461538461538,https://www.zoodmall.uz/product/13686728/simsiz-quloqchin-apple-airpods-2-1/,Airpods
16,Anime Manga JoJos Bizarre Adventure Soft TPU Case for AirPods 3 2 1 Pro Cute Transparent Airpod Pro Airpod Cases Luxury,7.038461538461538,USD,Zoodmall,7.038461538461538,https://www.zoodmall.uz/product/13686728/simsiz-quloqchin-apple-airpods-2-1/,Airpods
17,For Airpods-Pro2 2022 Case 3 Carbon Fiber Wireless Earphone Case Headphone Cover With Keychain Hook For AirPod Pro 2 2nd Thin PC Case,7.076923076923077,USD,Zoodmall,7.076923076923077,https://www.zoodmall.uz/product/13686728/simsiz-quloqchin-apple-airpods-2-1/,Airpods
18,Anime HUNTER X HUNTER Soft TPU Case for AirPods 3 2 1 Pro cute Killua Hisoka Transparent Airpod Pro Airpod Cases Luxury,7.115384615384615,USD,Zoodmall,7.115384615384615,https://www.zoodmall.uz/product/13686728/simsiz-quloqchin-apple-airpods-2-1/,Airpods
19,Airpod Case Cute Cartoon Dinosaur Bear for AirPods 3 2 Pro Lovely Bear Airpod Pro Airpod Cases,7.115384615384615,USD,Zoodmall,7.115384615384615,https://www.zoodmall.uz/product/13686728/simsiz-quloqchin-apple-airpods-2-1/,Airpods
20,Anime Haikyuu Airpod Case for AirPods 3 2 Pro Cute Cartoon Shoyo Hinata Airpod Pro Airpod Cases Luxury,7.115384615384615,USD,Zoodmall,7.115384615384615,https://www.zoodmall.uz/product/13686728/simsiz-quloqchin-apple-airpods-2-1/,Airpods
